year,month,zip code,median_ppsf,median_sale_price,new_listings,inventory
2024,10,1001,237.13,351355.21,228.01,72.72
2024,11,1001,237.13,310076.62,209.26,69.13
2024,12,1001,230.21,328642.65,66.05,5.87
2025,1,1001,230.21,346753.5,200.85,72.52
2025,2,1001,241.26,364252.68,185.83,63.83
2025,3,1001,238.04,326074.59,83.6,8.53
2025,4,1001,248.53,333085.41,218.36,72.71
2025,5,1001,243.3,337821.06,206.25,66.05
2025,6,1001,242.87,347658.42,67.44,6.44
2025,7,1001,242.87,384206.8,206.16,70.99
2025,8,1001,253.67,338785.21,191.89,68.25
2025,9,1001,253.67,343966.1,43.5,1.03
2025,10,1001,240.22,372195.14,226.84,69.78
2024,10,1002,268.72,481099.52,287.78,108.46
2024,11,1002,268.72,484013.01,279.91,92.35
2024,12,1002,319.01,451422.35,89.09,12.45
2025,1,1002,282.4,489785.98,255.95,102.38
2025,2,1002,266.94,488862.24,234.99,90.8
2025,3,1002,342.41,471093.72,98.7,13.34
2025,4,1002,301.66,488037.37,292.4,102.72
2025,5,1002,301.66,490648.63,257.84,90.57
2025,6,1002,254.94,472274.21,64.37,8.02
2025,7,1002,317.58,501424.75,274.01,107.89
2025,8,1002,351.7,506565.95,253.11,91.07
2025,9,1002,298.95,455633.33,31.0,0.0
2025,10,1002,289.2,502998.55,286.49,104.18
2024,10,1003,794.98,1608744.92,0.0,0.0
2024,11,1003,794.98,1608744.92,1341.55,253.09
2024,12,1003,1427.33,1608744.92,0.0,0.0
2025,1,1003,303.49,4817638.7,0.0,0.0
2025,2,1003,1090.06,4535094.34,1226.43,160.5
2025,3,1003,1090.06,592294.6,0.0,100.59
2025,4,1003,418.77,592294.6,184.17,295.37
2025,5,1003,418.77,592294.6,0.0,0.0
2025,6,1003,418.77,1091053.27,106.95,46.01
2025,7,1003,326.69,1091053.27,251.55,0.0
2025,8,1003,300.62,1091053.27,35.52,0.0
2025,9,1003,300.62,895093.25,0.0,95.67
2025,10,1003,381.29,895093.25,0.0,0.0
2016,7,1004,378.21,354000.0,0.0,0.0
2016,8,1004,378.21,354000.0,0.0,0.0
2016,9,1004,378.21,354000.0,0.0,0.0
2016,10,1004,378.21,354000.0,0.0,0.0
2016,11,1004,378.21,354000.0,0.0,0.0
2016,12,1004,378.21,354000.0,0.0,0.0
2017,1,1004,378.21,354000.0,0.0,0.0
2017,2,1004,378.21,354000.0,0.0,0.0
2017,3,1004,378.21,354000.0,0.0,0.0
2017,4,1004,378.21,354000.0,0.0,0.0
2017,5,1004,378.21,354000.0,0.0,0.0
2017,6,1004,378.21,354000.0,0.0,0.0
2017,7,1004,378.21,354000.0,0.0,0.0
2024,10,1005,232.94,431928.41,86.92,19.53
2024,11,1005,232.94,457969.52,82.3,17.71
2024,12,1005,257.52,400884.13,37.26,0.67
2025,1,1005,223.26,368154.56,61.84,15.66
2025,2,1005,223.26,438140.0,53.4,15.87
2025,3,1005,246.12,416492.49,58.26,1.05
2025,4,1005,229.74,439071.69,82.27,17.02
2025,5,1005,253.05,465420.68,76.74,15.96
2025,6,1005,253.05,414422.72,36.28,1.11
